City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,vagur,FO,61.4732,-6.8119,43.09,43.09,74,100,22.84,overcast clouds
290,salinas,US,36.6777,-121.6555,59.0,54.0,55,75,16.11,broken clouds
291,prince rupert,CA,54.3161,-130.3201,39.2,35.6,87,90,5.75,light snow
292,hammerfest,NO,70.6634,23.6821,30.2,30.2,93,90,3.44,light snow
293,esperance,AU,-33.8667,121.9,57.2,57.2,94,46,10.36,scattered clouds
294,shahr-e babak,IR,30.1165,55.1186,50.94,50.94,20,0,2.91,clear sky
295,usinsk,RU,65.9939,57.5281,7.03,7.03,96,88,4.21,overcast clouds
296,raudeberg,NO,61.9875,5.1352,37.99,37.99,78,99,17.74,overcast clouds
297,vostok,RU,46.4856,135.8833,19.22,19.22,91,96,5.26,overcast clouds
298,samana,DO,19.2056,-69.3369,80.6,80.6,78,20,6.91,few clouds
299,tautira,PF,-17.7333,-149.15,86.0,86.0,70,40,13.8,scattered clouds
300,waipawa,NZ,-41.4122,175.5153,61.0,57.99,77,75,19.57,broken clouds
301,bairiki,KI,1.3292,172.9752,82.4,82.4,78,40,13.8,scattered clouds
302,coracora,PE,-15.0333,-73.7833,53.64,53.64,66,18,8.72,few clouds
303,moba,CN,33.2288,105.0179,33.73,33.73,34,100,3.96,overcast clouds
304,san cristobal,VE,7.7669,-72.225,71.58,71.58,88,80,3.6,broken clouds
305,mahajanga,MG,-15.7167,46.3167,75.2,75.2,88,20,2.3,light rain
306,martaban,MM,16.5314,97.6111,76.19,76.19,73,50,4.72,scattered clouds
307,bitung,ID,1.4451,125.1824,75.2,75.2,94,20,1.14,few clouds
308,tessalit,ML,20.1986,1.0114,76.19,76.19,14,0,7.76,clear sky
309,college,US,64.8569,-147.8028,17.01,15.8,38,1,10.36,clear sky
310,longyearbyen,SJ,78.2186,15.6401,14.0,14.0,73,40,6.91,scattered clouds
311,longyan,CN,25.1072,117.0225,61.0,61.0,73,99,7.0,overcast clouds
312,shenjiamen,CN,29.9576,122.298,48.13,48.13,75,87,19.44,overcast clouds
313,valdosta,US,30.8327,-83.2785,62.6,59.0,39,90,9.22,overcast clouds
314,christchurch,NZ,-43.5333,172.6333,64.0,62.6,63,40,4.61,scattered clouds
315,banjar,ID,-8.19,114.9675,80.6,80.6,83,75,9.22,broken clouds
316,ifakara,TZ,-8.1333,36.6833,72.41,72.41,92,83,2.57,broken clouds
317,daru,PG,-9.0763,143.2092,81.32,81.32,85,100,6.33,overcast clouds
318,arraial do cabo,BR,-22.9661,-42.0278,80.6,78.8,83,0,19.57,clear sky
319,sinnamary,GF,5.3833,-52.95,77.05,77.05,86,33,9.73,scattered clouds
320,casablanca,MA,33.5928,-7.6192,55.0,46.4,81,40,5.75,scattered clouds
321,west odessa,US,31.8424,-102.4988,71.01,69.8,23,1,17.27,clear sky
322,nacala,MZ,-14.5428,40.6728,75.99,75.99,86,80,3.83,broken clouds
323,havre-saint-pierre,CA,50.2334,-63.5986,24.8,24.8,68,1,8.05,clear sky
